valid_kst,city,model,run_utc,step_h,lead_day,var,fcst,obs,err
2026-08-14 12:00:00,제주,GFS,2026-08-13 18:00:00,9,0,tcc,98.0,,
2026-08-14 15:00:00,강릉,ECMWF,2026-08-13 12:00:00,18,0,t2m,25.5,,
2026-08-14 15:00:00,강릉,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,강릉,GFS,2026-08-13 18:00:00,12,0,dswrf,671.0,,
2026-08-14 15:00:00,강릉,GFS,2026-08-13 18:00:00,12,0,t2m,24.7,,
2026-08-14 15:00:00,강릉,GFS,2026-08-13 18:00:00,12,0,tcc,78.0,,
2026-08-14 15:00:00,광주,ECMWF,2026-08-13 12:00:00,18,0,t2m,32.8,,
2026-08-14 15:00:00,광주,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,광주,GFS,2026-08-13 18:00:00,12,0,dswrf,438.0,,
2026-08-14 15:00:00,광주,GFS,2026-08-13 18:00:00,12,0,t2m,26.8,,
2026-08-14 15:00:00,광주,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 15:00:00,대구,ECMWF,2026-08-13 12:00:00,18,0,t2m,34.3,,
2026-08-14 15:00:00,대구,ECMWF,2026-08-13 12:00:00,18,0,tcc,92.0,,
2026-08-14 15:00:00,대구,GFS,2026-08-13 18:00:00,12,0,dswrf,601.0,,
2026-08-14 15:00:00,대구,GFS,2026-08-13 18:00:00,12,0,t2m,31.0,,
2026-08-14 15:00:00,대구,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 15:00:00,대전,ECMWF,2026-08-13 12:00:00,18,0,t2m,30.6,,
2026-08-14 15:00:00,대전,ECMWF,2026-08-13 12:00:00,18,0,tcc,94.0,,
2026-08-14 15:00:00,대전,GFS,2026-08-13 18:00:00,12,0,dswrf,556.0,,
2026-08-14 15:00:00,대전,GFS,2026-08-13 18:00:00,12,0,t2m,30.4,,
2026-08-14 15:00:00,대전,GFS,2026-08-13 18:00:00,12,0,tcc,98.0,,
2026-08-14 15:00:00,부산,ECMWF,2026-08-13 12:00:00,18,0,t2m,26.2,,
2026-08-14 15:00:00,부산,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,부산,GFS,2026-08-13 18:00:00,12,0,dswrf,792.0,,
2026-08-14 15:00:00,부산,GFS,2026-08-13 18:00:00,12,0,t2m,28.1,,
2026-08-14 15:00:00,부산,GFS,2026-08-13 18:00:00,12,0,tcc,58.0,,
2026-08-14 15:00:00,서울,ECMWF,2026-08-13 12:00:00,18,0,t2m,33.0,,
2026-08-14 15:00:00,서울,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
